2022-01-30 00:38:02.302  INFO 4423 --- [SpringApplicationShutdownHook] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2022-01-30 14:36:44.778  INFO 4443 --- [http-nio-9443-exec-10] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/2/2022-01-17 00:00:00.0
2022-01-30 14:36:44.785  INFO 4443 --- [http-nio-9443-exec-1] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/3/2022-01-17 00:00:00.0
2022-01-30 14:36:44.795  INFO 4443 --- [http-nio-9443-exec-2] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/4/2022-01-17 00:00:00.0
2022-01-30 14:38:50.932  INFO 4443 --- [http-nio-9443-exec-4] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:38:50.950  INFO 4443 --- [http-nio-9443-exec-5] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:42:15.678  INFO 4443 --- [http-nio-9443-exec-7] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:42:15.686  INFO 4443 --- [http-nio-9443-exec-8] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:42:18.254  INFO 4443 --- [http-nio-9443-exec-9] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:42:18.264  INFO 4443 --- [http-nio-9443-exec-10] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:42:18.290  INFO 4443 --- [http-nio-9443-exec-1] c.s.c.controllers.ActivityController     : Controller - GET - /activity
2022-01-30 14:42:18.299  INFO 4443 --- [http-nio-9443-exec-2] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/1/2022-01-30 00:00:00.0
2022-01-30 14:42:18.309  INFO 4443 --- [http-nio-9443-exec-3] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/2/2022-01-30 00:00:00.0
2022-01-30 14:42:18.318  INFO 4443 --- [http-nio-9443-exec-4] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/3/2022-01-30 00:00:00.0
2022-01-30 14:42:18.327  INFO 4443 --- [http-nio-9443-exec-5] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/4/2022-01-30 00:00:00.0
2022-01-30 14:42:21.406  INFO 4443 --- [http-nio-9443-exec-6] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:42:21.417  INFO 4443 --- [http-nio-9443-exec-7] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:42:21.452  INFO 4443 --- [http-nio-9443-exec-8] c.s.c.controllers.ActivityController     : Controller - GET - /activity
2022-01-30 14:42:21.463  INFO 4443 --- [http-nio-9443-exec-9] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/1/2022-01-17 00:00:00.0
2022-01-30 14:42:21.471  INFO 4443 --- [http-nio-9443-exec-10] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/2/2022-01-17 00:00:00.0
2022-01-30 14:42:21.478  INFO 4443 --- [http-nio-9443-exec-1] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/3/2022-01-17 00:00:00.0
2022-01-30 14:42:21.487  INFO 4443 --- [http-nio-9443-exec-2] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/4/2022-01-17 00:00:00.0
2022-01-30 14:44:06.791  INFO 4443 --- [http-nio-9443-exec-4] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:44:06.800  INFO 4443 --- [http-nio-9443-exec-5] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:44:09.680  INFO 4443 --- [http-nio-9443-exec-6] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:44:09.689  INFO 4443 --- [http-nio-9443-exec-7] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:44:09.716  INFO 4443 --- [http-nio-9443-exec-8] c.s.c.controllers.ActivityController     : Controller - GET - /activity
2022-01-30 14:44:09.726  INFO 4443 --- [http-nio-9443-exec-9] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/1/2022-01-30 00:00:00.0
2022-01-30 14:44:09.735  INFO 4443 --- [http-nio-9443-exec-10] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/2/2022-01-30 00:00:00.0
2022-01-30 14:44:09.743  INFO 4443 --- [http-nio-9443-exec-1] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/3/2022-01-30 00:00:00.0
2022-01-30 14:44:09.751  INFO 4443 --- [http-nio-9443-exec-2] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/4/2022-01-30 00:00:00.0
2022-01-30 14:44:12.122  INFO 4443 --- [http-nio-9443-exec-3] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:44:12.132  INFO 4443 --- [http-nio-9443-exec-4] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:44:12.172  INFO 4443 --- [http-nio-9443-exec-5] c.s.c.controllers.ActivityController     : Controller - GET - /activity
2022-01-30 14:44:12.182  INFO 4443 --- [http-nio-9443-exec-6] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/1/2022-01-17 00:00:00.0
2022-01-30 14:44:12.192  INFO 4443 --- [http-nio-9443-exec-7] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/2/2022-01-17 00:00:00.0
2022-01-30 14:44:12.200  INFO 4443 --- [http-nio-9443-exec-8] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/3/2022-01-17 00:00:00.0
2022-01-30 14:44:12.206  INFO 4443 --- [http-nio-9443-exec-9] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/4/2022-01-17 00:00:00.0
2022-01-30 14:47:43.190  INFO 4443 --- [http-nio-9443-exec-1] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:47:43.197  INFO 4443 --- [http-nio-9443-exec-2] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:48:21.826  INFO 4443 --- [http-nio-9443-exec-3] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:48:21.835  INFO 4443 --- [http-nio-9443-exec-4] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:48:23.257  INFO 4443 --- [http-nio-9443-exec-5] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:48:23.265  INFO 4443 --- [http-nio-9443-exec-6] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:48:23.286  INFO 4443 --- [http-nio-9443-exec-7] c.s.c.controllers.ActivityController     : Controller - GET - /activity
2022-01-30 14:48:23.295  INFO 4443 --- [http-nio-9443-exec-8] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/1/2022-01-17 00:00:00.0
2022-01-30 14:48:23.306  INFO 4443 --- [http-nio-9443-exec-9] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/2/2022-01-17 00:00:00.0
2022-01-30 14:48:23.313  INFO 4443 --- [http-nio-9443-exec-10] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/3/2022-01-17 00:00:00.0
2022-01-30 14:48:23.321  INFO 4443 --- [http-nio-9443-exec-1] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/4/2022-01-17 00:00:00.0
2022-01-30 14:48:36.088  INFO 4443 --- [http-nio-9443-exec-2] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:48:36.103  INFO 4443 --- [http-nio-9443-exec-3] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:48:39.076  INFO 4443 --- [http-nio-9443-exec-4] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:48:39.084  INFO 4443 --- [http-nio-9443-exec-5] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:48:39.106  INFO 4443 --- [http-nio-9443-exec-6] c.s.c.controllers.ActivityController     : Controller - GET - /activity
2022-01-30 14:48:39.115  INFO 4443 --- [http-nio-9443-exec-7] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/1/2022-01-30 00:00:00.0
